N,TIMES,Execution Time (s)
25,64000000,50.490678
50,8000000,23.459942
75,2370370,22.926702
100,1000000,17.839440
125,512000,19.605460
150,296296,17.972988
175,186588,19.337831
200,125000,16.683721
225,87791,17.040814
250,64000,17.494956
275,48084,17.574933
300,37037,17.036601
325,29130,17.435501
350,23323,17.400897
375,18962,17.633618
400,15625,16.275345
425,13026,16.849127
450,10973,16.744661
475,9330,17.172472
500,8000,16.736215
525,6910,17.038962
550,6010,17.082558
575,5260,16.824500
600,4629,16.874950
625,4096,17.182782
650,3641,16.869849
675,3251,16.923558
700,2915,16.710741
725,2624,16.762227
750,2370,16.518158
775,2148,16.884124
800,1953,16.595551
825,1780,16.734858
850,1628,16.790231
875,1492,16.619433
900,1371,16.650930
925,1263,16.625032
950,1166,16.707422
975,1078,16.483688
1000,1000,16.566020
1025,928,16.782907
1050,863,16.586473
1075,804,16.783641
1100,751,16.584026
1125,702,16.662208
1150,657,16.591176
1175,616,16.583544
1200,578,16.406358
1225,543,16.572554
1250,512,16.678059
1275,482,16.586424
1300,455,16.677574
1325,429,16.530863
1350,406,16.572897
1375,384,16.552767
1400,364,16.669226
1425,345,16.633047
1450,328,16.547769
1475,311,16.595431
1500,296,16.561156
1525,281,16.780326
1550,268,16.795644
1575,255,16.751195
1600,244,16.711196
1625,233,16.804082
1650,222,16.715327
1675,212,16.530074
1700,203,16.605839
1725,194,16.500715
1750,186,16.555137
1775,178,16.622672
1800,171,16.572940
1825,164,16.684206
1850,157,16.526118
1875,151,16.574437
1900,145,16.486444
1925,140,16.557865
1950,134,16.420914
1975,129,16.536729
2000,125,16.484710
2025,120,16.502522
2050,116,16.686648
2075,111,16.466159
2100,107,16.481768
2125,104,16.541399
2150,100,16.501335
2175,97,16.563650
2200,93,16.466487
2225,90,16.498483
2250,87,16.360602
2275,84,16.422760
2300,82,16.550600
2325,79,16.541023
2350,77,16.561832
2375,74,16.443644
2400,72,16.439843
2425,70,16.614731
2450,67,16.383018
2475,65,16.297723
2500,64,16.556937
2513,63,16.592917
2527,62,16.530863
2540,61,16.514685
2554,60,16.598830
2569,59,16.624161
2583,58,16.657957
2598,57,16.587888
2614,56,16.635722
2630,55,16.652407
2646,54,16.585611
2662,53,16.590599
2679,52,16.629189
2697,51,16.529243
2714,50,16.564322
2733,49,16.517232
2752,48,16.513950
2771,47,16.573059
2791,46,16.545748
2811,45,16.599554
2833,44,16.696960
2854,43,16.556092
2877,42,16.544578
2900,41,16.543739
2924,40,16.494380
2949,39,16.529696
2974,38,16.467172
3001,37,16.506809
3029,36,16.490484
3057,35,16.778224
3087,34,16.528172
3118,33,16.488780
3150,32,16.460524
3183,31,16.453413
3218,30,16.509768
3255,29,16.493084
3293,28,16.431385
3333,27,16.577840
3376,26,16.457386
3420,25,16.451266
3467,24,16.457934
3516,23,16.440539
3569,22,16.574295
3625,21,16.565154
3684,20,16.518884
3748,19,16.493759
3816,18,16.402866
3889,17,16.518164
3969,16,16.453888
4055,15,16.409902
4149,14,16.534996
4253,13,16.461183
4368,12,16.478691
4496,11,16.409355
4642,10,16.513734
4807,9,16.443100
5000,8,16.440905
5228,7,16.432504
5503,6,16.459757
5848,5,16.401577
6300,4,16.379827
6934,3,16.422844
7937,2,16.404686
10000,1,16.341962
