N,TIMES,Execution Time (s)
25,64000000,26.6995494040
50,8000000,3.9314320710
75,2370370,3.5821103150
100,1000000,2.9107542580
125,512000,3.1424566750
150,296296,2.9713908520
175,186588,3.1329327440
200,125000,2.7591312480
225,87791,2.8120372440
250,64000,2.8311156820
275,48084,2.8727997430
300,37037,2.8154876860
325,29130,2.8524840630
350,23323,2.8001615040
375,18962,2.8909601960
400,15625,2.6833719890
425,13026,2.7446242560
450,10973,2.7266738010
475,9330,2.7742798450
500,8000,2.7232042140
525,6910,2.8124915820
550,6010,2.8447454800
575,5260,2.7775354590
600,4629,2.7904947250
625,4096,2.8476281680
650,3641,2.7830477290
675,3251,2.8108144890
700,2915,2.7633113390
725,2624,2.8007255920
750,2370,2.7531068190
775,2148,2.7946287320
800,1953,2.7777034450
825,1780,2.7835702860
850,1628,2.7960807610
875,1492,2.7762644960
900,1371,2.7637880740
925,1263,2.7597541090
950,1166,2.7754067050
975,1078,2.7472251700
1000,1000,2.7754628510
1025,928,2.8272880950
1050,863,2.7562379150
1075,804,2.7992573790
1100,751,2.7801908310
1125,702,2.7814663430
1150,657,2.7730345150
1175,616,2.7903554400
1200,578,2.7720701350
1225,543,2.7780795700
1250,512,2.8030017940
1275,482,2.8002928980
1300,455,2.8223012240
1325,429,2.7666528830
1350,406,2.7822800750
1375,384,2.7543633290
1400,364,2.8140342590
1425,345,2.7972401460
1450,328,2.7939224010
1475,311,2.7891490110
1500,296,2.8051957930
1525,281,2.8539603170
1550,268,2.8224929930
1575,255,2.8208639290
1600,244,2.7993817300
1625,233,2.8044069860
1650,222,2.8139117460
1675,212,2.8137485050
1700,203,2.8153665680
1725,194,2.8290519210
1750,186,2.8214920220
1775,178,2.8220990560
1800,171,2.8500057530
1825,164,2.8368835040
1850,157,2.8638900360
1875,151,2.8783177970
1900,145,2.9089422970
1925,140,2.8549955140
1950,134,2.8469752630
1975,129,2.8445426300
2000,125,2.8709200850
2025,120,2.8057775310
2050,116,2.8881892350
2075,111,2.8615208500
2100,107,2.8158034880
2125,104,2.8695522120
2150,100,2.8775506870
2175,97,2.9555118240
2200,93,2.8315882490
2225,90,2.8277239960
2250,87,2.8836650460
2275,84,2.7952770700
2300,82,2.8537934910
2325,79,2.9049519190
2350,77,2.8808625310
2375,74,2.9450873570
2400,72,2.8145983830
2425,70,2.8943979530
2450,67,2.9259131960
2475,65,2.8644725950
2500,64,2.9476921090
2513,63,2.9788317860
2527,62,3.0002694670
2540,61,3.0293582830
2554,60,2.8580303690
2569,59,2.8955872040
2583,58,2.8885428090
2598,57,2.8818396520
2614,56,2.9306163380
2630,55,2.9878601720
2646,54,2.8483580820
2662,53,2.8888122570
2679,52,2.9445203570
2697,51,2.9938455980
2714,50,3.0539850970
2733,49,3.1066965540
2752,48,2.8280826930
2771,47,2.8866734140
2791,46,2.8900889100
2811,45,2.8723166820
2833,44,2.9997330830
2854,43,3.0342032970
2877,42,2.9080240870
2900,41,2.9733808530
2924,40,2.9720702950
2949,39,3.0518739330
2974,38,3.1158420010
3001,37,3.2008616890
3029,36,2.8589979010
3057,35,2.9592817480
3087,34,2.9160499330
3118,33,2.8867101330
3150,32,2.9703378040
3183,31,3.0605794080
3218,30,2.8823828710
3255,29,2.9498838200
3293,28,3.0544098490
3333,27,3.1812006450
3376,26,3.2700287090
3420,25,3.3909808530
3467,24,2.8360495560
3516,23,2.9315844530
3569,22,2.9541079050
3625,21,2.9178299260
3684,20,3.0127318320
3748,19,3.1657247710
3816,18,2.8519322350
3889,17,3.0565134170
3969,16,3.2343285390
4055,15,3.4259933120
4149,14,3.6089683680
4253,13,3.9012143360
4368,12,2.8488766630
4496,11,2.9240975970
4642,10,3.0784347420
4807,9,2.9279510730
5000,8,3.2484850990
5228,7,3.6612739170
5503,6,2.9893214080
5848,5,3.3564149560
6300,4,4.1979133270
6934,3,5.6024260330
7937,2,8.3681699720
10000,1,16.3213041170
