N,TIMES,Execution Time (s)
25,64000000,50.374795
50,8000000,23.295743
75,2370370,22.785984
100,1000000,17.853697
125,512000,20.030906
150,296296,17.883100
175,186588,19.182230
200,125000,16.535530
225,87791,16.985471
250,64000,17.449193
275,48084,17.525846
300,37037,16.959425
325,29130,17.294995
350,23323,17.407465
375,18962,17.575882
400,15625,16.267963
425,13026,16.888470
450,10973,16.733722
475,9330,17.163174
500,8000,16.771252
525,6910,17.021835
550,6010,17.091423
575,5260,16.812320
600,4629,16.835378
625,4096,17.190719
650,3641,16.822401
675,3251,16.872949
700,2915,16.678243
725,2624,16.739765
750,2370,16.475363
775,2148,16.858549
800,1953,16.559696
825,1780,16.746824
850,1628,16.787192
875,1492,16.577367
900,1371,16.629018
925,1263,16.564241
950,1166,16.717889
975,1078,16.476723
1000,1000,16.555420
1025,928,16.756885
1050,863,16.556088
1075,804,16.720704
1100,751,16.573059
1125,702,16.624816
1150,657,16.544014
1175,616,16.556434
1200,578,16.359013
1225,543,16.533409
1250,512,16.610999
1275,482,16.568874
1300,455,16.669118
1325,429,16.459527
1350,406,16.516161
1375,384,16.481018
1400,364,16.590553
1425,345,16.590968
1450,328,16.497025
1475,311,16.497189
1500,296,16.444047
1525,281,16.596019
1550,268,16.480393
1575,255,16.506879
1600,244,16.455279
1625,233,16.522196
1650,222,16.576803
1675,212,16.453318
1700,203,16.528826
1725,194,16.479596
1750,186,16.492379
1775,178,16.397902
1800,171,16.583485
1825,164,16.620106
1850,157,16.518263
1875,151,16.581564
1900,145,16.437730
1925,140,16.519810
1950,134,16.345318
1975,129,16.449097
2000,125,16.417568
2025,120,16.429075
2050,116,16.594623
2075,111,16.392415
2100,107,16.431668
2125,104,16.490595
2150,100,16.440059
2175,97,16.488315
2200,93,16.349127
2225,90,16.411875
2250,87,16.295717
2275,84,16.349412
2300,82,16.523201
2325,79,16.469466
2350,77,16.482084
2375,74,16.346150
2400,72,16.330799
2425,70,16.535383
2450,67,16.312864
2475,65,16.230861
2500,64,16.496022
2513,63,16.504857
2527,62,16.443086
2540,61,16.459599
2554,60,16.570072
2569,59,16.581973
2583,58,16.562439
2598,57,16.497039
2614,56,16.554311
2630,55,16.511883
2646,54,16.489241
2662,53,16.471342
2679,52,16.544791
2697,51,16.468830
2714,50,16.476185
2733,49,16.439625
2752,48,16.429695
2771,47,16.481107
2791,46,16.463423
2811,45,16.507615
2833,44,16.601558
2854,43,16.498066
2877,42,16.504533
2900,41,16.525394
2924,40,16.470894
2949,39,16.483379
2974,38,16.442173
3001,37,16.473930
3029,36,16.458918
3057,35,16.765673
3087,34,16.501869
3118,33,16.439258
3150,32,16.424088
3183,31,16.414482
3218,30,16.500612
3255,29,16.471897
3293,28,16.401321
3333,27,16.536399
3376,26,16.413550
3420,25,16.431465
3467,24,16.416822
3516,23,16.415817
3569,22,16.555228
3625,21,16.466172
3684,20,16.428674
3748,19,16.425553
3816,18,16.427529
3889,17,16.485359
3969,16,16.424127
4055,15,16.383210
4149,14,16.529597
4253,13,16.421116
4368,12,16.467296
4496,11,16.385982
4642,10,16.497461
4807,9,16.392757
5000,8,16.402461
5228,7,16.396733
5503,6,16.467856
5848,5,16.413241
6300,4,16.365353
6934,3,16.410608
7937,2,16.379389
10000,1,16.337979
