Tamaño de la matriz, Número de operaciones, Duración (s)
50, 8.0e6, 51.396032293
75, 2.37037e6, 337.299179259
100, 1.0e6, 188.699898183
125, 512000.0, 126.252272234
150, 296296.0, 89.580312707
175, 186588.0, 57.331416296
200, 125000.0, 45.63767809
225, 87791.0, 36.467310447
250, 64000.0, 36.990893644
275, 48084.0, 29.556109401
300, 37037.0, 23.757724876
325, 29130.0, 21.766178078
350, 23323.0, 21.21349567
375, 18962.0, 19.97006328
400, 15625.0, 17.646696668
425, 13026.0, 17.171376905
450, 10973.0, 15.533567894
475, 9330.0, 15.829672133
500, 8000.0, 15.558524826
525, 6910.0, 14.849512637
550, 6010.0, 14.639531649
575, 5260.0, 13.581203828
600, 4629.0, 14.063908829
625, 4096.0, 13.317575051
650, 3641.0, 12.685658945
675, 3251.0, 12.016713359
700, 2915.0, 12.508976176
725, 2624.0, 12.579986894
750, 2370.0, 11.982305897
775, 2148.0, 11.83135654
800, 1953.0, 11.84236095
825, 1780.0, 12.530020957
850, 1628.0, 11.479043952
875, 1492.0, 10.989938063
900, 1371.0, 10.681283162
925, 1263.0, 10.60232024
950, 1166.0, 10.656927478
975, 1078.0, 10.149784293
1000, 1000.0, 10.48569694
1025, 928.0, 10.319704803
1050, 863.0, 10.635142286
1075, 804.0, 10.509306412
1100, 751.0, 10.584326789
1125, 702.0, 9.759035228
1150, 657.0, 9.924912813
1175, 616.0, 10.254532567
1200, 578.0, 9.571523051
1225, 543.0, 9.607181041
1250, 512.0, 9.320279291
1275, 482.0, 9.686011392
1300, 455.0, 10.891402141
1325, 429.0, 9.438510477
1350, 406.0, 8.942751417
1375, 384.0, 8.836412548
1400, 364.0, 9.191144596
1425, 345.0, 8.980850981
1450, 328.0, 8.984157308
1475, 311.0, 8.920786079
1500, 296.0, 9.020443497
1525, 281.0, 8.667626224
1550, 268.0, 8.478360772
1575, 255.0, 8.332517636
1600, 244.0, 8.105086713
1625, 233.0, 8.863434559
1650, 222.0, 8.464447387
1675, 212.0, 8.327162647
1700, 203.0, 8.210472529
1725, 194.0, 8.393086818
1750, 186.0, 9.02277799
1775, 178.0, 8.49490748
1800, 171.0, 8.497231311
1825, 164.0, 8.223175204
1850, 157.0, 8.681139648
1875, 151.0, 8.954205165
1900, 145.0, 8.375090158
1925, 140.0, 8.143100187
1950, 134.0, 8.426579703
1975, 129.0, 8.572692743
2000, 125.0, 8.024927644
2025, 120.0, 8.655869822
2050, 116.0, 9.171540725
2075, 111.0, 9.190382735
2100, 107.0, 9.125018631
2125, 104.0, 8.867014274
2150, 100.0, 8.790595067
2175, 97.0, 8.627133091
2200, 93.0, 8.838715701
2225, 90.0, 9.283281901
2250, 87.0, 8.823854964
2275, 84.0, 8.096853796
2300, 82.0, 8.254053205
2325, 79.0, 8.414836043
2350, 77.0, 8.195207844
2375, 74.0, 8.116246858
2400, 72.0, 8.201392993
2425, 70.0, 8.190953519
2450, 67.0, 8.030693724
2475, 65.0, 8.105357845
