Tamaño de la matriz, Número de operaciones, Duración (s)
50, 8.0e6, 25.118668
75, 2.37037e6, 24.5191031
100, 1.0e6, 20.929361
125, 512000.0, 56.499291
150, 296296.0, 37.1138067
175, 186588.0, 27.9083032
200, 125000.0, 20.4985628
225, 87791.0, 17.6275075
250, 64000.0, 15.946233
275, 48084.0, 14.2494345
300, 37037.0, 13.6780743
325, 29130.0, 11.6025019
350, 23323.0, 11.6123481
375, 18962.0, 12.1831643
400, 15625.0, 11.0684766
425, 13026.0, 10.8397676
450, 10973.0, 10.5409339
475, 9330.0, 10.8953944
500, 8000.0, 10.5307341
525, 6910.0, 8.3747654
550, 6010.0, 8.2927848
575, 5260.0, 7.732131
600, 4629.0, 7.981102
625, 4096.0, 7.9376055
650, 3641.0, 7.4296169
675, 3251.0, 7.3549213
700, 2915.0, 7.2954545
725, 2624.0, 7.2623986
750, 2370.0, 7.2786895
775, 2148.0, 6.7269341
800, 1953.0, 6.5969134
825, 1780.0, 6.8702999
850, 1628.0, 6.8830431
875, 1492.0, 6.7725975
900, 1371.0, 6.4461444
925, 1263.0, 6.6152387
950, 1166.0, 6.5982219
975, 1078.0, 6.3717281
1000, 1000.0, 6.3657808
1025, 928.0, 6.0923447
1050, 863.0, 6.3160245
1075, 804.0, 6.3613275
1100, 751.0, 6.1379464
1125, 702.0, 6.1349057
1150, 657.0, 6.001551
1175, 616.0, 6.1228398
1200, 578.0, 6.0448323
1225, 543.0, 5.8711686
1250, 512.0, 5.8625458
1275, 482.0, 5.8961976
1300, 455.0, 5.8869776
1325, 429.0, 5.9110035
1350, 406.0, 5.6682665
1375, 384.0, 5.6623711
1400, 364.0, 5.7848721
1425, 345.0, 5.7264599
1450, 328.0, 5.7108885
1475, 311.0, 5.5316157
1500, 296.0, 5.6505865
1525, 281.0, 5.7069885
1550, 268.0, 5.5927602
1575, 255.0, 5.6793852
1600, 244.0, 5.730761
1625, 233.0, 5.5945394
1650, 222.0, 5.6356102
1675, 212.0, 5.9590379
1700, 203.0, 5.6509348
1725, 194.0, 5.45987
1750, 186.0, 5.5160341
1775, 178.0, 5.5086515
1800, 171.0, 5.4508951
1825, 164.0, 5.365675
1850, 157.0, 5.5204021
1875, 151.0, 5.4883981
1900, 145.0, 5.5294226
1925, 140.0, 5.3649951
1950, 134.0, 5.4126871
1975, 129.0, 5.5272075
2000, 125.0, 5.5455581
2025, 120.0, 5.6290163
2050, 116.0, 5.533797
2075, 111.0, 5.4932192
2100, 107.0, 5.5033413
2125, 104.0, 5.4773797
2150, 100.0, 5.4366898
2175, 97.0, 5.3048458
2200, 93.0, 5.4033742
2225, 90.0, 5.6086029
2250, 87.0, 4.7233024
2275, 84.0, 4.3425718
2300, 82.0, 4.2340721
2325, 79.0, 4.1350431
2350, 77.0, 4.29286
2375, 74.0, 4.2023709
2400, 72.0, 4.2832105
2425, 70.0, 4.4629407
2450, 67.0, 4.009321
2475, 65.0, 3.8628284
