Tamaño de la matriz, Número de operaciones, Duración (s)
300, 37037.0, 8.732602
325, 29130.0, 6.108798
350, 23323.0, 45.1748354
375, 18962.0, 39.7755854
400, 15625.0, 26.9837895
425, 13026.0, 23.5068654
450, 10973.0, 3.8432223
475, 9330.0, 2.9092988
500, 8000.0, 29.6126381
525, 6910.0, 6.911377
550, 6010.0, 28.2998822
575, 5260.0, 29.4320096
600, 4629.0, 23.1365569
625, 4096.0, 3.7565069
650, 3641.0, 5.4658202
675, 3251.0, 4.02817
700, 2915.0, 26.4741488
725, 2624.0, 4.6872537
750, 2370.0, 19.4348738
775, 2148.0, 6.1542524
800, 1953.0, 20.6580824
825, 1780.0, 20.0910154
850, 1628.0, 25.8518362
875, 1492.0, 20.2616628
900, 1371.0, 7.2842411
925, 1263.0, 7.8859204
950, 1166.0, 15.9410157
975, 1078.0, 18.2870928
1000, 1000.0, 10.1597443
1025, 928.0, 0.5349208
1050, 863.0, 19.6899293
1075, 804.0, 0.0177976
1100, 751.0, 15.4401521
1125, 702.0, 10.4257887
1150, 657.0, 3.0725603
1175, 616.0, 25.1648865
1200, 578.0, 0.011561
1225, 543.0, 0.415368
1250, 512.0, 7.2144284
1275, 482.0, 0.0131867
1300, 455.0, 33.9945874
1325, 429.0, 0.01138
1350, 406.0, 0.5254304
1375, 384.0, 19.5474272
1400, 364.0, 0.0172241
1425, 345.0, 14.0081222
1450, 328.0, 27.6826671
1475, 311.0, 0.0123747
1500, 296.0, 0.2726462
1525, 281.0, 1.0197979
1550, 268.0, 22.0156113
1575, 255.0, 0.2615026
1600, 244.0, 16.7027621
1625, 233.0, 27.2648671
1650, 222.0, 0.0094926
1675, 212.0, 4.3881772
1700, 203.0, 45.5669646
1725, 194.0, 0.0053675
1750, 186.0, 0.0047114
1775, 178.0, 3.9392665
1800, 171.0, 37.3170612
1825, 164.0, 0.0085167
1850, 157.0, 0.0055009
1875, 151.0, 4.3182666
1900, 145.0, 50.2173377
1925, 140.0, 0.0033548
1950, 134.0, 0.0037447
1975, 129.0, 0.0031188
2000, 125.0, 48.7597159
2025, 120.0, 0.0030752
2050, 116.0, 0.0043328
2075, 111.0, 0.0040585
2100, 107.0, 35.3502599
2125, 104.0, 0.0030983
2150, 100.0, 0.0025345
2175, 97.0, 0.0025676
2200, 93.0, 0.0029322
2225, 90.0, 48.474502
2250, 87.0, 0.0021292
2275, 84.0, 0.0042476
2300, 82.0, 0.002728
2325, 79.0, 0.0023252
2350, 77.0, 0.0024272
2375, 74.0, 0.0025813
2400, 72.0, 0.0022
2425, 70.0, 0.0025176
2450, 67.0, 54.4123039
2475, 65.0, 0.0016799
