Tamaño de la matriz, Número de operaciones, Duración (s)
300, 37037.0, 2.5174033
325, 29130.0, 1.8932617
350, 23323.0, 1.4184739
375, 18962.0, 1.3853347
400, 15625.0, 1.6172755
425, 13026.0, 1.1724923
450, 10973.0, 0.9964633
475, 9330.0, 0.9038376
500, 8000.0, 0.8401835
525, 6910.0, 1.0138153
550, 6010.0, 0.9618594
575, 5260.0, 0.9133425
600, 4629.0, 0.7878138
625, 4096.0, 0.8062903
650, 3641.0, 0.9070875
675, 3251.0, 0.8606298
700, 2915.0, 0.8118427
725, 2624.0, 0.7670569
750, 2370.0, 0.7053622
775, 2148.0, 0.8033132
800, 1953.0, 0.9208279
825, 1780.0, 0.6193227
850, 1628.0, 0.7545577
875, 1492.0, 0.9658725
900, 1371.0, 0.665656
925, 1263.0, 0.6532362
950, 1166.0, 0.6779797
975, 1078.0, 0.703527
1000, 1000.0, 0.6805465
1025, 928.0, 0.7097434
1050, 863.0, 0.5418442
1075, 804.0, 0.7058422
1100, 751.0, 0.7017275
1125, 702.0, 0.7320321
1150, 657.0, 0.7180428
1175, 616.0, 0.7102808
1200, 578.0, 0.7553207
1225, 543.0, 0.748069
1250, 512.0, 0.7763529
1275, 482.0, 0.7632802
1300, 455.0, 0.8072119
1325, 429.0, 0.8496238
1350, 406.0, 0.0101473
1375, 384.0, 0.8392832
1400, 364.0, 0.8259999
1425, 345.0, 0.8508189
1450, 328.0, 0.8902391
1475, 311.0, 0.0074942
1500, 296.0, 0.8689278
1525, 281.0, 0.851248
1550, 268.0, 0.939514
1575, 255.0, 0.0061228
1600, 244.0, 0.9680388
1625, 233.0, 0.9480123
1650, 222.0, 0.0054108
1675, 212.0, 0.946813
1700, 203.0, 1.037772
1725, 194.0, 0.004578
1750, 186.0, 1.0091994
1775, 178.0, 0.989727
1800, 171.0, 0.0042842
1825, 164.0, 1.0755725
1850, 157.0, 1.0937595
1875, 151.0, 0.0038878
1900, 145.0, 1.0726634
1925, 140.0, 0.0036087
1950, 134.0, 1.0998875
1975, 129.0, 1.1411621
2000, 125.0, 0.0027767
2025, 120.0, 1.0821116
2050, 116.0, 0.0028479
2075, 111.0, 1.170743
2100, 107.0, 0.002959
2125, 104.0, 1.1899487
2150, 100.0, 1.1822519
2175, 97.0, 0.0024488
2200, 93.0, 1.1841544
2225, 90.0, 0.0021352
2250, 87.0, 1.2338753
2275, 84.0, 0.001923
2300, 82.0, 1.1971415
2325, 79.0, 0.0018562
2350, 77.0, 1.2864041
2375, 74.0, 0.0019784
2400, 72.0, 1.2665452
2425, 70.0, 0.0016321
2450, 67.0, 1.2959565
2475, 65.0, 0.0016284
