Tamaño de la matriz, Duración (s)
100, 0.00031539198
200, 0.001549312
300, 0.0051353597
400, 0.0073164804
500, 0.066863105
600, 0.038582273
700, 0.063519746
800, 0.018095104
900, 0.012123136
1000, 0.001171456
1100, 0.001586176
1200, 0.001878016
1300, 0.002536448
1400, 0.0042516477
1500, 0.004859904
1600, 0.0045004804
1700, 0.005475328
1800, 0.00804352
1900, 0.008428544
2000, 0.13069926
2100, 0.19681588
2200, 0.22469734
2300, 0.24030514
2400, 0.25044274
2500, 0.45900595
2600, 0.015499264
2700, 0.018593792
2800, 0.018957311
2900, 0.021349376
3000, 0.023204865
3100, 0.026788864
3200, 0.027838465
3300, 0.029666303
3400, 0.03358413
3500, 0.03591373
3600, 0.040073216
3700, 0.040875006
3800, 0.041602045
3900, 0.04843827
4000, 0.046731263
4100, 0.05115597
4200, 0.052614145
4300, 0.9641144
4400, 1.7336853
4500, 0.22514994
4600, 0.9187922
4700, 3.146106
4800, 2.1343312
4900, 3.4900048
5000, 2.3514462
5100, 2.4440465
5200, 3.281874
5300, 4.1964307
5400, 4.2016807
5500, 1.8156421
5600, 3.3050573
5700, 4.0939765
5800, 4.09238
5900, 4.3404055
6000, 3.7629604
6100, 0.14403276
6200, 0.1645056
6300, 0.17245287
6400, 0.17351578
6500, 0.1896745
6600, 0.2136832
6700, 5.14395
6800, 1.5336816
6900, 8.6872015
7000, 4.6376796
7100, 10.31045
7200, 8.411312
7300, 7.3317957
7400, 8.429037
7500, 6.360659
7600, 1.8038609
7700, 0.2894418
7800, 0.30152294
7900, 0.29532775
8000, 4.680656
8100, 7.957616
8200, 1.960742
8300, 0.29666716
8400, 0.31527835
8500, 5.720202
8600, 7.958604
8700, 8.312216
8800, 8.074386
8900, 4.6603847
9000, 7.041501
9100, 4.672381
9200, 0.390997
9300, 0.4235694
9400, 4.8986235
9500, 11.237113
9600, 10.51367
9700, 11.123744
9800, 8.935642
9900, 1.3313464
10000, 0.54771507
