Tamaño de la matriz, Número de operaciones, Duración (s)
50, 8.0e6, 40.4537476
75, 2.37037e6, 48.7484474
100, 1.0e6, 35.6967803
125, 512000.0, 104.7998569
150, 296296.0, 66.9057675
175, 186588.0, 48.5330187
200, 125000.0, 34.8527119
225, 87791.0, 27.5286146
250, 64000.0, 27.8009429
275, 48084.0, 24.6777278
300, 37037.0, 21.7472389
325, 29130.0, 19.1592406
350, 23323.0, 18.4791543
375, 18962.0, 19.0500255
400, 15625.0, 17.9239232
425, 13026.0, 17.0899001
450, 10973.0, 15.8419971
475, 9330.0, 16.870564
500, 8000.0, 17.5464792
525, 6910.0, 13.971911
550, 6010.0, 13.5539153
575, 5260.0, 12.8041797
600, 4629.0, 13.2530216
625, 4096.0, 13.1431666
650, 3641.0, 12.1122721
675, 3251.0, 11.8592768
700, 2915.0, 12.2363354
725, 2624.0, 12.1674121
750, 2370.0, 12.290154
775, 2148.0, 11.2622237
800, 1953.0, 10.773208
825, 1780.0, 11.2881554
850, 1628.0, 10.9640239
875, 1492.0, 10.9663473
900, 1371.0, 10.4155152
925, 1263.0, 10.8319433
950, 1166.0, 9.9989012
975, 1078.0, 4.1538235
1000, 1000.0, 4.2723065
1025, 928.0, 3.9393621
1050, 863.0, 4.1909373
1075, 804.0, 4.8926016
1100, 751.0, 4.8971954
1125, 702.0, 4.9458704
1150, 657.0, 4.6934943
1175, 616.0, 4.5942313
1200, 578.0, 4.70643
1225, 543.0, 4.6033832
1250, 512.0, 4.6095994
1275, 482.0, 4.7533717
1300, 455.0, 4.7092284
1325, 429.0, 4.6400506
1350, 406.0, 4.6337204
1375, 384.0, 4.6657129
1400, 364.0, 4.7856903
1425, 345.0, 4.7300938
1450, 328.0, 4.7781393
1475, 311.0, 4.5799883
1500, 296.0, 4.7039092
1525, 281.0, 4.4332824
1550, 268.0, 4.490415
1575, 255.0, 4.6773406
1600, 244.0, 4.6667307
1625, 233.0, 5.0361841
1650, 222.0, 5.1526742
1675, 212.0, 4.6336233
1700, 203.0, 4.5911318
1725, 194.0, 4.4906616
1750, 186.0, 4.4883182
1775, 178.0, 4.5593164
1800, 171.0, 4.4079209
1825, 164.0, 4.6862864
1850, 157.0, 4.5689379
1875, 151.0, 4.5088042
1900, 145.0, 4.5254569
1925, 140.0, 4.455201
1950, 134.0, 4.3344748
1975, 129.0, 4.4550658
2000, 125.0, 4.3456866
2025, 120.0, 4.5256994
2050, 116.0, 4.3548263
2075, 111.0, 4.5541831
2100, 107.0, 4.5527091
2125, 104.0, 4.1594705
2150, 100.0, 4.385386
2175, 97.0, 4.7254439
2200, 93.0, 4.749103
2225, 90.0, 4.2736559
2250, 87.0, 4.8161167
2275, 84.0, 5.7147592
2300, 82.0, 5.4392526
2325, 79.0, 5.5397501
2350, 77.0, 5.3782467
2375, 74.0, 5.2041357
2400, 72.0, 4.1995479
2425, 70.0, 4.5234418
2450, 67.0, 4.1759696
2475, 65.0, 4.0249946
