Tamaño de la matriz, Número de operaciones, Duración (s)
50, 8.0e6, 47.1168959
75, 2.37037e6, 100.9261096
100, 1.0e6, 92.3930368
125, 512000.0, 267.0696371
150, 296296.0, 79.0320451
175, 186588.0, 48.7179413
200, 125000.0, 24.4042381
225, 87791.0, 14.4282859
250, 64000.0, 11.9652529
275, 48084.0, 10.6154018
300, 37037.0, 10.2163874
325, 29130.0, 8.670128
350, 23323.0, 9.3637151
375, 18962.0, 9.5571622
400, 15625.0, 8.6236177
425, 13026.0, 8.3291255
450, 10973.0, 8.1217362
475, 9330.0, 8.940388
500, 8000.0, 8.8607527
525, 6910.0, 6.49313
550, 6010.0, 6.4583341
575, 5260.0, 5.9206285
600, 4629.0, 6.1031026
625, 4096.0, 6.2465751
650, 3641.0, 5.6310368
675, 3251.0, 5.6683045
700, 2915.0, 5.6802685
725, 2624.0, 5.6683574
750, 2370.0, 5.6292299
775, 2148.0, 5.153238
800, 1953.0, 5.0413485
825, 1780.0, 5.4194432
850, 1628.0, 5.3905724
875, 1492.0, 5.3596639
900, 1371.0, 5.0174407
925, 1263.0, 5.0813317
950, 1166.0, 5.2608318
975, 1078.0, 4.8978902
1000, 1000.0, 5.080802
1025, 928.0, 4.9674896
1050, 863.0, 5.1352325
1075, 804.0, 6.6322919
1100, 751.0, 5.2828554
1125, 702.0, 5.7112809
1150, 657.0, 5.6517311
1175, 616.0, 5.7356557
1200, 578.0, 6.0176475
1225, 543.0, 6.2794891
1250, 512.0, 6.4978218
1275, 482.0, 6.0364319
1300, 455.0, 5.9900386
1325, 429.0, 6.1726766
1350, 406.0, 6.0093592
1375, 384.0, 6.1707209
1400, 364.0, 5.2674807
1425, 345.0, 5.0123157
1450, 328.0, 5.1313437
1475, 311.0, 5.0604204
1500, 296.0, 5.1221023
1525, 281.0, 5.0543737
1550, 268.0, 5.0329348
1575, 255.0, 5.0977868
1600, 244.0, 4.9699522
1625, 233.0, 5.4685879
1650, 222.0, 4.6470378
1675, 212.0, 4.5377029
1700, 203.0, 4.5737036
1725, 194.0, 4.1874387
1750, 186.0, 4.1862222
1775, 178.0, 4.2256472
1800, 171.0, 4.0767693
1825, 164.0, 4.1409978
1850, 157.0, 4.2884423
1875, 151.0, 4.2197066
1900, 145.0, 4.1248067
1925, 140.0, 4.0808337
1950, 134.0, 4.4206333
1975, 129.0, 4.8158863
2000, 125.0, 4.6048405
2025, 120.0, 4.7102061
2050, 116.0, 4.7618151
2075, 111.0, 4.6875444
2100, 107.0, 4.6013976
2125, 104.0, 4.4654307
2150, 100.0, 4.46435
2175, 97.0, 4.1651042
2200, 93.0, 4.1448509
2225, 90.0, 4.1474428
2250, 87.0, 4.3322124
2275, 84.0, 4.1480607
2300, 82.0, 3.8891802
2325, 79.0, 3.8732548
2350, 77.0, 3.9918526
2375, 74.0, 4.1851283
2400, 72.0, 4.1201091
2425, 70.0, 4.4380794
2450, 67.0, 4.3464162
2475, 65.0, 4.0459964
