Tamaño de la matriz, Número de operaciones, Duración (s)
50, 8.0e6, 26.5038569
75, 2.37037e6, 27.3410768
100, 1.0e6, 20.2661588
125, 512000.0, 51.0576354
150, 296296.0, 31.9574927
175, 186588.0, 22.8727053
200, 125000.0, 16.1499286
225, 87791.0, 13.3033153
250, 64000.0, 12.7640651
275, 48084.0, 11.4987652
300, 37037.0, 10.9406962
325, 29130.0, 9.096494
350, 23323.0, 9.2966815
375, 18962.0, 9.879576
400, 15625.0, 8.8902799
425, 13026.0, 8.8218564
450, 10973.0, 8.3086411
475, 9330.0, 8.3634365
500, 8000.0, 8.7903567
525, 6910.0, 6.5172782
550, 6010.0, 6.465272
575, 5260.0, 5.939506
600, 4629.0, 6.1225901
625, 4096.0, 6.4721181
650, 3641.0, 5.6261068
675, 3251.0, 5.6823304
700, 2915.0, 5.5467258
725, 2624.0, 5.5706167
750, 2370.0, 5.6762544
775, 2148.0, 5.2379501
800, 1953.0, 5.1637685
825, 1780.0, 5.5198622
850, 1628.0, 5.3968421
875, 1492.0, 5.3039786
900, 1371.0, 4.9881737
925, 1263.0, 5.026151
950, 1166.0, 6.1596886
975, 1078.0, 5.8722902
1000, 1000.0, 5.4876556
1025, 928.0, 5.7562948
1050, 863.0, 5.2030893
1075, 804.0, 5.4550883
1100, 751.0, 5.6172009
1125, 702.0, 5.5358271
1150, 657.0, 4.8985092
1175, 616.0, 5.1672067
1200, 578.0, 4.8284415
1225, 543.0, 5.0565294
1250, 512.0, 4.9452075
1275, 482.0, 5.5440185
1300, 455.0, 6.3173149
1325, 429.0, 6.2945023
1350, 406.0, 6.0746311
1375, 384.0, 4.8790366
1400, 364.0, 4.8456641
1425, 345.0, 4.7401224
1450, 328.0, 4.790067
1475, 311.0, 4.5792841
1500, 296.0, 4.6719105
1525, 281.0, 4.7885478
1550, 268.0, 4.6001211
1575, 255.0, 4.5044936
1600, 244.0, 4.2348413
1625, 233.0, 4.2081325
1650, 222.0, 4.2489861
1675, 212.0, 4.1177376
1700, 203.0, 4.6156136
1725, 194.0, 4.4824331
1750, 186.0, 4.5954966
1775, 178.0, 4.8722663
1800, 171.0, 5.011281
